no,category,description,detail,point,suggestPrice,discount25,discount35,discount45,discount50
2770,均衡營養,營養蛋白混合飲料(香草550g)  Nutrition Protein Drink Mix - Vanilla 550g,,22.00,"1,527","1,173","1,032",932,820
2771,均衡營養,營養蛋白混合飲料(巧克力550g) Nutrition Protein Drink Mix - Chocolate 550g,,22.00,"1,527","1,173","1,032",932,820
2772,均衡營養,營養蛋白混合飲料(草莓550g) Nutrition Protein Drink Mix - Strawberry 550g,,22.00,"1,527","1,173","1,032",932,820
1207,均衡營養,營養蛋白混合飲料(薄菏巧克力550g) Nutrition Protein Drink Mix - Mint Chocolate,,22.00,"1,527","1,173","1,032",932,820
2487,均衡營養,營養蛋白混合飲料(拿鐵口味550g) Nutrition Protein Drink Mix - Café Latte,,22.00,"1,527","1,173","1,032",932,820
271,均衡營養,營養蛋白混合飲料- (巧餅550g) Nutrition Protein Drink Mix - Cookies'n Cream,,22.00,"1,527","1,173","1,032",932,820
2335,均衡營養,營養蛋白混合飲料- (芒果550g) Nutrition Protein Drink Mix - Fruity mango,,22.00,"1,527","1,173","1,032",932,820
367,均衡營養,兒童營養蛋白混合飲料 - 香草 (本產品效期較短，敬請酌量訂購) Kids shake - Vanilla,,19.95,"1,330","1,023",899,813,715
242,均衡營養,優質蛋白粉 Personalized Protein Powder,,17.95,"1,196",919,807,730,642
3122,均衡營養,草維錠 Multi - Vitamin,,10.00,505,389,341,309,271
3272,均衡營養,蔬果營養錠 Garden 7,,39.95,"2,226","1,710","1,505","1,360","1,195"
1463,運動,CR7勁能飲 CR7 Drive,,24.90,"1,536","1,204","1,072",979,873
1457,運動,運動營養飲-香草口味 H24 F1 Sport,,41.60,"2,617","2,011","1,768","1,598","1,405"
1459,運動,H24賦活能量飲 H24 Rebuild Stength,,54.75,"3,272","2,515","2,211","1,999","1,757"
260,活力能量,蛋白質棒 Protein Bar,,7.70,645,555,520,495,466
1502,保護力,紫錐花強健飲-蜂蜜香橙 Best Defense-Orange Honey ,,9.95,633,487,428,387,340
3151,活力能量,Liftoff 活力發泡錠 –橘子 Liftoff Orange,,15.95,860,662,582,526,462
3152,活力能量,Liftoff 活力發泡錠 –檸檬蘭姆 Liftoff Lemon Lime,,15.95,860,662,582,526,462
106,茶飲,草本濃縮速溶茶飲 - 原味(102克) Herbal Concentrate-102grams,,34.95,"1,785","1,371","1,206","1,091",959
2121,茶飲,草本濃縮速溶茶飲 - 蜜薑(102克) Herbal Concentrate-Honey ginger (102g),,34.95,"1,785","1,371","1,206","1,091",959
256,茶飲,草本濃縮速溶茶飲 - 覆盆子(50克) Herbal Concentrate- Raspberry ( 50g ),,19.95,"1,042",800,704,636,560
102,茶飲,瓜拿那豆速溶茶飲(60克) NRG Beverage - 60grams,,14.75,853,655,575,521,458
1427,茶飲,綠茶飲 - 原味 Green Tea (Original),,28.25,"1,441","1,107",973,880,774
1428,茶飲,綠茶飲 - 石榴口味 Green Tea (Pomegranate),,28.25,"1,441","1,107",973,880,774
210,體態管理,甲殼纖維素 Chitosan Fibre Complex,,24.05,"1,401","1,076",946,856,752
111,體態管理,細喜錠 Cell-U-Loss,,15.75,675,519,457,413,363
49,體態管理,享孅錠 Snack Defense,,34.20,"2,061","1,584","1,393","1,260","1,108"
2864,消化健康,營養纖維粉 - 天然蘋果口味 Nutrition textile fiber powder - Apple,,22.95,"1,470","1,130",993,898,790
2865,消化健康,營養纖維粉 - 原味 Nutrition textile fiber powder,,22.95,"1,470","1,130",993,898,790
